name,closing_date,verification_date,institution,verification,guidelines,faq,state
STIPEND TO SC TRAINERS IN GOVERNMENT ITI-PUDUCHERRY,Closed on 31-12-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Puducherry/Pudu_3021_G.pdf,https://www.scholarships.gov.in#,PUDUCHERRY
POST MATRIC SCHOLARSHIP SCHEME FOR ST STUDENTS-SIKKIM,Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3063_G.pdf,https://www.scholarships.gov.in#,SIKKIM
"PM YASASVI PRE-MATRIC SCHOLARSHIPS FOR OBC,EBC,DNT STUDENTS-SIKKIM",Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3069_G.pdf,https://www.scholarships.gov.in#,SIKKIM
"PM YASASVI POST MATRIC SCHOLARSHIP FOR OBC,EBC AND DNT STUDENTS-SIKKIM",Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3065_G.pdf,https://www.scholarships.gov.in#,SIKKIM
PRE-MATRIC SCHOLARSHIPS FOR ST STUDENTS CLASS IX AND CLASS X-SIKKIM,Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3066_G.pdf,https://www.scholarships.gov.in#,SIKKIM
PRE MATRIC SCHOLARSHIP FOR SC STUDENTS STUDYING IN CLASS IX AND X-SIKKIM,Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3067_G.PDF,https://www.scholarships.gov.in#,SIKKIM
PRE-MATRIC SCHOLARSHIPS FOR  CHILDREN OF PARENTS OR GUARDIANS ENGAGED IN UNCLEAN OCCUPATION(CLASS 1-10)-SIKKIM,Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,SIKKIM
CENTRALLY SPONSORED POST MATRIC SCHOLARSHIP FOR SC STUDENTS - SIKKIM,Open till 29-02-2024,Open till 15-03-2024,Open till 15-03-2024,Open till 2024-03-30,https://www.scholarships.gov.in/public/schemeGuidelines/3064_G.pdf,https://www.scholarships.gov.in#,SIKKIM
PRE-MATRIC ST SCHOLARSHIP SCHEMES,Open till 31-01-2024,Open till 05-02-2024,Open till 05-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/Pre-Matric(CSS)-Revised-guidelines-tripura.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/FAQ-Pre&Post-Matric(CSS-NSP)-tripura.pdf,MATRIC ST SCHOLARSHIP SCHEMES
POST-MATRIC ST SCHOLARSHIP SCHEMES,Open till 31-01-2024,Open till 05-02-2024,Open till 05-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/Post-Matric(CSS)-Revised-guidelines-tripura.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/FAQ-Pre&Post-Matric(CSS-NSP)-tripura.pdf,MATRIC ST SCHOLARSHIP SCHEMES
POST-MATRIC SCHOLARSHIP FOR SC STUDENTS TRIPURA,Open till 31-01-2024,Open till 10-02-2024,Open till 10-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/TRIPURA_PMS_SC.pdf,https://www.scholarships.gov.in#,MATRIC SCHOLARSHIP FOR SC STUDENTS TRIPURA
POST MATRIC SCHOLARSHIP FOR OBC STUDENTS TRIPURA,Closed on 31-12-2023,Open till 10-01-2024,Open till 10-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/TRIPURA_PMS_OBC.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/1045_F.pdf,POST MATRIC SCHOLARSHIP FOR OBC STUDENTS TRIPURA
Dr. B.R. AMBEDKAR POST MATRIC SCHOLARSHIP FOR ECONOMICALLY BACKWARD CLASSES (EBC). - TRIPURA,Open till 31-01-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-03-20,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/tripure_EBC_Guideline.PDF,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/2045_F.pdf,TRIPURA
PRE MATRIC SC CLEANING AND HEALTH HAZARD -TRIPURA,Open till 31-01-2024,Open till 10-02-2024,Open till 10-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/Pre-Matric_SC Cleaning and Health Hazard.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/FAQ - PrematricSC_cleaning.pdf,TRIPURA
PRE MATRIC SC (CLASS IX AND X)-TRIPURA,Open till 31-01-2024,Open till 10-02-2024,Open till 10-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/Pre Matric SC Class IX X - prasanta majumder.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/FAQ - Prematric SC ClassIXandX.pdf,TRIPURA
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR OBC STUDENTS - TRIPURA,Closed on 31-12-2023,Open till 10-01-2024,Open till 10-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/Guidelines_3040.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Tripura/FAQ_3040.pdf,TRIPURA
Pre-Matric Scholarship Scheme for Minority (100 percent State Sector)-Uttarakhand,Closed on 30-11-2023,Closed on 15-12-2023,Closed on 15-12-2023,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/guideline_PrematicScholarship18_minority.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_UK_MINORITY.pdf,Uttarakhand
Post Matric Scholarship for EBC Students-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Help_manual.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_EBC_UK.pdf,Uttarakhand
Pre-Matric Disability Scholarship (State Sector)-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/UK_PRE_GUIDELINE.pdf,https://www.scholarships.gov.in#,Uttarakhand
Pre-Matric Scholarship for SC Students (State Sector)-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/UK_PRE_GUIDELINE.pdf,https://www.scholarships.gov.in#,Uttarakhand
Pre-Matric Scholarship for ST Students (State Sector)-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/UK_PRE_GUIDELINE.pdf,https://www.scholarships.gov.in#,Uttarakhand
Pre-Matric Scholarship for SC Students (Center Sector)-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/UK_PRE_GUIDELINE.pdf,https://www.scholarships.gov.in#,Uttarakhand
Pre-Matric Scholarship for ST Students (Center Sector)-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/UK_PRE_GUIDELINE.pdf,https://www.scholarships.gov.in#,Uttarakhand
Post-Matric Scholarship for ST Students-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Help_manual.pdf,https://www.scholarships.gov.in#,Uttarakhand
Post-Matric Scholarship for SC Students-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Help_manual.pdf,https://www.scholarships.gov.in#,Uttarakhand
Post-Matric Scholarship for OBC Students-Uttarakhand,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Help_manual.pdf,https://www.scholarships.gov.in#,Uttarakhand
