name,closing_date,verification_date,institution,verification,guidelines,faq,state
PM-YASASVI  POST MATRIC SCHOLARSHIP FOR OBC/EBC/DNT STUDENTS-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Dr. Ambedkar Post Matric  Scholarship Scheme for Economically Backward Classes.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
MUKHYA MANTRI PROTSAHAN YOJANA-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Mukhya Mantri  Protsahan Yojna.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
MAHARISHI BALMIKI CHATRAVRITI YOJANA-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/MahrishBalmikiChhatervritiYojna-202324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
Mukhya Mantri Vidyarthi Kalyan Yojna-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/IRDP_2324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
KALPANA CHAWLA CHATRAVRITI YOJANA-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Kalpana_Chawla_Chhatravriti_Yojna202324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
INDIRA GANDHI UTKRISHT CHATRAVRITI YOJANA -HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Indira_Gandhi_Utkrisht_Chhatravriti_Yojna-merged-202324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
THAKUR SEN NEGI UTKRISHT CHATRAVRITI YOJANA -HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Thakur Sen Negi Utkrisht Chhatervriti Yojna.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
SWAMI VIVEKANAND UTKRISHT CHARAVRITI YOJANA-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Swami_Vivekanand_Utkrisht_Chattarvriti_Yojna-202324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
DR.AMBEDKAR MEDHAVI CHATRAVRITI YOJANA FOR SC STUDENTS-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Dr. Ambedkar medhavi Chhatrvriti  Yojna for SC Student_new_2024.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
DR.AMBEDKAR MEDHAVI CHATRAVRITI YOJANA FOR OBC STUDENTS-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Dr. Ambedkar medhavi Chhatrvriti  Yojna for OBC Student_new_2024.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
